Call_ID,Raw Transcripts,Preprocessed Transcripts
Thank you ma'am.","['good', 'welcome', 'insurance', 'help', 'want', 'read', 'personal', 'health_plan', 'want', 'know', 'know', 'option', 'want', 'know', 'benefit', 'work', 'maybe', 'refer', 'protected_health', 'plan', 'sorry', 'protect', 'health_plan', 'know', 'know', 'number', 'ciara', 'phone', 'number', 'information', 'protected_health', 'plan', 'plan', 'option', 'minute', 'explain', 'benefit', 'cover', 'plan', 'band', 'plan', 'good', 'accord', 'accord', 'plan', 'plan', 'know', 'requirement', 'assume', 'inquire', 'surgical', 'benefit', 'plus', 'critical', 'illness', 'benefit', 'plan', 'daily', 'hospital', 'cash', 'benefit', 'plan', 'true', 'plan']"

98762981,"Good afternoon.
HDFC life customer care this is Alex how may I help you.
Today, hi Alex can you please uh? Give me a any uh? What are the types of pensions you have?
OK uh so mom, please may I have your name and.
Phone number, please, yeah, sure my name is Alex and my Phone number is 1234.
OK mom.
So.
Uh currently in HDFC life. We are offering A3 pension plans. The HDFC Life assured pension plan, which is a unit linked pension plan.
So it offers you flexible premium payments an frequencies tax benefits and zero allocation charges.
Uh then we have the HDFC life pension super plus plan.
This also this is not a unit link plan, but this has flexible premium payments multiple fund. Zero allocation charges take tax benefits uh and then uh flexible maturity. Also.
OK uh it work to plan, you will suggest more for the people.
So mom, these days, the most popular plan is uh the HDFC Life assured unit link plan that I.
Told you about earlier, the first one.
Uh it is most popular because the returns on this planet are really high your returns are linked to the market.
OK, I would like to take a first one, uh again. I I wanted to think through it, and I'll go for again. I will call you one more time. Thanks for uh. Thank you for giving the information.
Do you want like you can also fill these things online or like do?
You want me to uh.","['good', 'customer', 'care', 'help', 'today', 'type', 'pension', 'phone_number', 'phone_number', 'currently', 'offer', 'pension_plan', 'assure', 'pension_plan', 'unit_link', 'pension_plan', 'offer', 'flexible_premium', 'payment', 'frequency', 'tax_benefit', 'zero_allocation', 'charge', 'pension', 'super', 'plus', 'plan', 'unit_link', 'plan', 'flexible_premium', 'payment', 'multiple', 'fund', 'zero_allocation', 'charge', 'tax_benefit', 'flexible', 'maturity', 'work', 'plan', 'suggest', 'people', 'popular', 'plan', 'assure', 'unit_link', 'plan', 'earlier', 'popular', 'return', 'planet', 'high', 'return', 'link', 'market', 'want', 'think', 'time', 'information', 'want', 'thing', 'online', 'want']"

114965010,"Graph noon AGC life customer care. This is Alex how may I help you today.
Oh Hello, Oh, I have a history of sea life, Azure Pension plan that comes under the unit link plan. Currently, I didn't have enabled the any online thing and one more thing before going to that. I wanted to know how the premium and benefit I will get.
OK, ma'am, uh please. Can I have your policy number and name for that.
Like 1234 and my name is now.
OK, just give me one minute mom, yeah sure.
So far, premiums I cannot help you uh like you'll have to contact your agent to know anything about premium an uh.
Yard uh benefits your agent will tell you about that. But like uh for this thing up for your a pension plan online portal. I can activate your online portal.
OK, OK don't you know that usually people. Uh don't you deal with any people uh how they will take the premiums and all.
Man, I am not handling that you call your agent for that. I'm here to solve other problems.
OK then you will need to change the any other agent to talk with right how you will there.
Mommy want online or not.
You need to enable that.
Do you want me to enable that for you?
That's the only thing I can help with.
Should I enable?
OK, just give me one minute.","['graph', 'noon', 'life', 'customer', 'care', 'help', 'today', 'hello', 'history', 'life', 'azure', 'pension_plan', 'come', 'unit', 'link', 'plan', 'currently', 'enable', 'online', 'thing', 'thing', 'want', 'know', 'premium', 'benefit', 'policy', 'number', 'minute', 'premium', 'help', 'contact', 'agent', 'know', 'premium', 'yard', 'benefit', 'agent', 'thing', 'pension_plan', 'online_portal', 'activate', 'online_portal', 'know', 'usually', 'people_uh', 'deal', 'people_uh', 'premium', 'handle', 'agent', 'solve', 'problem', 'need', 'change', 'agent', 'talk', 'right', 'mommy', 'want', 'online', 'need', 'enable', 'want', 'enable', 'thing', 'help', 'enable', 'minute']"

136043333,"Hello mom, good morning. This is Alexa how may I help you.
Hi my name is guy. Uh I would I wanted to take a term insurance policy. Could you tell me what the benefits of that are sure ma'am term insurance?
Is there life insurance product offered by the insurance company?
Which offers
Financial coverage to the term insurance policy Holder for your specific time period.
In case of death of the insured.
Individual during the policy term that death benefit is paid by the company to the bank be sharing.
Uh all right uh and how much is the premium and how much of the benefit do I actually get.
That benefit will be depends on the.
Type of the policy you want to take it will.
Be uh usually it will be.
Monthly visor quarterly razor uh a yearly wise it will be 10,000 and you will get a benefit up through 1 cross.
OK and one more thing. Uh you told me that the death benefit. Whatever you said is exactly paid by whom that will be given from the insurance company.
Whom you through the goal by the policy company insurance company.
And uh also can I apply for this online?
Yeah, you can apply through the online also man it will be possible.
Oh, OK alright.
Alright, thank you so much.
Thank you for calling history else have your nice statement.","['hello', 'good', 'help', 'want', 'term_insurance', 'policy', 'benefit', 'term_insurance', 'life', 'insurance', 'product', 'offer', 'insurance_company', 'offer', 'financial', 'coverage', 'term_insurance', 'policy', 'holder', 'specific', 'time', 'period', 'case', 'death', 'insure', 'individual', 'policy', 'term', 'death_benefit', 'company', 'bank', 'share', 'right', 'premium', 'benefit', 'actually', 'benefit', 'depend', 'type', 'policy', 'want', 'usually', 'monthly', 'visor', 'quarterly', 'razor', 'yearly', 'wise', 'benefit', 'cross', 'thing', 'death_benefit', 'exactly', 'insurance_company', 'goal', 'policy', 'company', 'insurance_company', 'apply', 'online', 'apply', 'online', 'possible', 'alright', 'alright', 'history', 'nice', 'statement']"

162945426,"Good afternoon welcome to HDFC Life insurance how may I help you.
Hi I actually wanted to know regarding easy health insurance.
OK, ma'am, uh may I know your name and a Phone number, please.
My name is Sky and my mobile number is.
456.
789.
OK then thank you. Uh so uh uh so ma'am for easier plan, which plan are you looking for. We have 3 options as in gold, silver and platinum.
What exactly is the difference?
Uh so the difference is not much, ma'am, uh, but uh depending on the plan your premium and pay out will uh differ.
Oh, I'm assuming platinum will be the highest.
Yeah, OK, then I think I'll go with Platinum.
OK, so for platinum we have you. Have you would have to pay a minimum premium of rupees 2000 and also we have a also we have the payment frequency plans so monthly or yearly depending on that also uh. We have different premiums to pay so may I know are you looking for a monthly premium plan or a quarterly or yearly.
I'm I'm actually not quite sure, but I don't know whether would what would you recommend?
A mam I would recommend you to go for a quarterly plan because uh it won't be a burden on you for monthly plan also and uh it would be it would be perfect for you.
OK, fine, I think then I do that, so then what would the premium be.
So for uh the premium would be somewhere around ₹2000 and the maximum payout that would be available to you will be full like rupees.
OK.","['good', 'welcome', 'life', 'insurance', 'help', 'actually', 'want', 'know', 'regard', 'easy', 'health', 'insurance', 'know', 'phone', 'number', 'mobile', 'number', 'easy', 'plan', 'plan', 'look', 'option', 'gold', 'silver', 'platinum', 'exactly', 'difference', 'difference', 'depend', 'plan', 'premium', 'differ', 'assume', 'platinum', 'high', 'think', 'platinum', 'platinum', 'minimum', 'premium', 'rupee', 'payment', 'frequency', 'plan', 'monthly', 'yearly', 'depend', 'different', 'premium', 'know', 'look', 'monthly', 'premium', 'plan', 'quarterly', 'yearly', 'actually', 'know', 'recommend', 'recommend', 'quarterly', 'plan', 'burden', 'monthly', 'plan', 'perfect', 'fine', 'think', 'premium', 'premium', 'maximum', 'payout', 'available', 'rupee']"

163481267,"Good afternoon is DFC life customer care. This is Alex how may I help you today.
Hi Alex I have a pension plus policy uh under my payment of the term is done. I have claimed the amount. But there has been no response from you guys, I don't know what happened from your side.
I apologize for the inconvenience man for verification purpose. May I please know your name and policy number.
My name is Alexa and my policy number is the agent L 1234 AM.
OK mom uh.
So I can see that the term payment is done.
May I know how you have been trying to claim the insurance some out.
I think that I could send an SMS to your toll free number and the insurance that would be reflected in my account, but I didn't get.
Uh I'm sorry mom, but that would not be the right way to claim you would have to check call the toll free number requests for claim once you request is recorded the claim will take 12 hours to process.
Very heavy mentioned these things I didn't why I was not aware of this time. Even I haven't seen anywhere.
Man this information is present on our website and also while applying for the insurance. The brochure given to you has all the required of.
You have you should uh tell us being the before only? Why you're keeping now you're sailing at telling everything in and out.
I'm sorry, ma'am, but it is there in the brochure ma'am.
OK find them.
Is there anything else I can assist you with?
Thank you for calling HDFC life have a good day.","['good', 'life', 'customer', 'care', 'help', 'today', 'pension', 'plus', 'policy', 'payment', 'term', 'claim', 'response', 'know', 'happen', 'apologize', 'inconvenience', 'purpose', 'know', 'policy_number', 'policy_number', 'agent', 'term', 'payment', 'know', 'claim', 'insurance', 'think', 'send', 'toll_free', 'number', 'insurance', 'reflect', 'account', 'sorry', 'right', 'claim', 'check', 'toll_free', 'number', 'request', 'claim', 'request', 'record', 'claim', 'hour', 'process', 'heavy', 'mention', 'thing', 'aware', 'time', 'information', 'present', 'website', 'apply', 'insurance', 'brochure', 'require', 'sail', 'sorry', 'brochure', 'assist', 'life', 'good']"

167214413,"Hello AHDFC, life this is Alexa how may I help you.
Hi I wanted to know about your 3D plus plan.
Could you please tell me your name Sir?
Hi this is.
Kevin OK, OK, Kevin I'll I'll help you with that.
Uh this HDFC life term plan.
Provides 9 cover options there are live option extra life option.
Income option extra life income option.
There are a lot.
Of options and you'll get some good.
Interesting options like the life stage protection feature in the HDFC life term plan enabled the Policyholder.
To increase the sum.
Assured at significant stages.
In one's life such as.
Ed first marriage birth birth of 1st and 2nd Shell Exeter.
With you having.
To run from pillar to post.
On marriage 50% of some measure can be increased on the birth of every.
Jail you'll get 25% of a measure can be increased in the history of the term plan.
And the eligibility criteria for this is minimum is 18 years and the maximum is 65 years and the politic policy term is 5 years and maximum is 40 years.
Some sort of 10 legs after claiming the policy the premium payment frequency would be monthly quarterly half yearly.
Or yearly.
In my mouth.
Would be five, 5004 months?
OK, uh.
So and How do I email This policy if I want to.
Uh you can get to the agent or you can go for.
Online also it's very easy to get the policy.
OK, thank you so much.
Is there anything other than this?
Uh so is this a by chance is this link to the stock market is this some kind of unit linked also uh no no this is a purely term policy.","['hello', 'ahdfc', 'life', 'help', 'want', 'know', 'plus', 'plan', 'kevin', 'kevin', 'help', 'term_plan', 'provide', 'cover', 'option', 'live', 'option_extra', 'life', 'option', 'income_option', 'extra_life', 'income_option', 'option', 'good', 'interesting', 'option', 'life', 'stage', 'protection', 'feature', 'term_plan', 'enable', 'policyholder', 'increase', 'assure', 'significant', 'stage', 'life', 'marriage', 'birth', 'birth', 'shell', 'exeter', 'pillar', 'post', 'marriage', 'measure', 'increase', 'birth', 'jail', 'measure', 'increase', 'history', 'term_plan', 'eligibility', 'criterion', 'minimum', 'year', 'maximum', 'year', 'politic', 'policy', 'term', 'year', 'maximum', 'year', 'sort', 'claim', 'policy', 'premium', 'payment', 'frequency', 'monthly', 'quarterly', 'half', 'yearly', 'yearly', 'mouth', 'month', 'email', 'policy', 'want', 'agent', 'online', 'easy', 'policy', 'chance', 'link', 'stock', 'market', 'kind', 'unit', 'link', 'purely', 'term', 'policy']"

233293183,"Welcome to HDFC life my name is Kai how may I help you.
Uh yeah, hi my name is Ron I had purchased.
Young star Super Premium Plan and I wanted to know what are the premium?
So you gotta let me uh could you please tell me your policy number?
Uh my policy number is 2F2F.
Yeah, so, so I see that you have opted for the quarterly payment and uh.
Your uh the amount or do payment is about a ₹2400.
OK uh may I know how to pay the payment.
Yes, I I would help you with that just give me a moment.
Yes, so have you registered online with HDFC life?
No, I haven't. But I do not have time since I have already crossed the date to pay my premiums.
She's not an issue so you can pay it via net banking, you can pay it with my credit card or debit card online.
Oh, that's wonderful I'll make the payment via net banking, then thank you so much.
Not an issue so but for future premium payments to kindly register online with HDFC life for hassle free payments.
Sure also one more thing well paying their net banking what do I mention in the remarks.
You could just mention your policy number.
Thank you.
Thank you for calling HDFC life.","['welcome', 'help', 'purchase', 'young', 'star', 'super', 'premium', 'plan', 'want', 'know', 'premium', 'policy_number', 'policy_number', 'quarterly', 'payment', 'payment', 'know', 'payment', 'help', 'moment', 'register_online', 'time', 'cross', 'date', 'premium', 'issue', 'net_banking', 'credit', 'card', 'debit', 'card', 'online', 'wonderful', 'payment', 'net_banking', 'issue', 'future', 'premium', 'payment', 'kindly', 'register_online', 'hassle', 'free', 'payment', 'thing', 'net_banking', 'mention', 'remark', 'mention', 'policy_number']"

275895380,"Welcome to atfc life my name is Kai how may I help you.
Craig's and my.
Uh I had way wanted to register for the young star plan.
Uh may I know uh and I wanted to know how to submit the documents for that.
With that uh actually you could write us and you could send your documents to online query at HDFC life or callers on our toll free number 18002660315 and uh we could assist you with that.
Uh uh tell me one thing is there a pickup service for the documents so that they can be collected from my place.
Yes, Sir so our representative to collect your document you will have to write a Mail stating your request and this would be done.
Uh OK fine, but uh may I know how much time would it take for the whole process to get completed?
Sure, so, so if you if the agent pics your documents are by tomorrow. You're a insurance should be up and running by about in about 2 working days.
Uh and I also know what uh all documents would be required.
One passport size photograph your other card copy that should be good enough.
Nothing else, you will require for this right.
Definitely also the forms.
Uh Oh OK, OK, so could you please send the agent to me to my place as soon as possible.
Yes, I'm sure.
Thank you.","['welcome', 'atfc', 'life', 'help', 'craig', 'want', 'register', 'young', 'star', 'plan', 'know', 'want', 'know', 'submit', 'document', 'actually', 'write', 'send', 'document', 'online', 'query', 'life', 'caller', 'toll', 'free', 'number', 'assist', 'thing', 'pickup', 'service', 'document', 'collect', 'place', 'representative', 'collect', 'document', 'write', 'mail', 'state', 'request', 'fine', 'know', 'time', 'process', 'complete', 'agent', 'document', 'tomorrow', 'insurance', 'work', 'know', 'document', 'require', 'passport', 'size', 'photograph', 'card', 'copy', 'good', 'require', 'right', 'definitely', 'form', 'send', 'agent', 'place', 'soon', 'possible']"

285303038,"Good afternoon welcome to HDFC Life Insurance? How can I help you?
Oh, hi. I'm Emily my policy number is 452. AF and I'm really upset. I had asked for my claim almost 3 weeks from now and no response from you guys nothing. Uh my term has ended, and I wanted to just shut my policy off I don't want to renew it.
Uh I'm sorry for the inconvenience, ma'am uh. Let me escalate this matter to my supervisor. Uh he'll have a look into it and uh try to try to solve the matter as soon as possible.
I don't want you to.
Split anything I want you to just dominate my policy and I do not want to have any relationship with HDFC life henceforth.
Uh uh OK mom, just uh. Let me check into the system. What what the problem was. Maybe I can help you with that.
I don't think you can help me you guys have been telling me the same damn thing for the past 3 weeks. You think I'm crazy person who is first of all taken for cancer care claim and you guys are taking it so lightly.
Um, I'm I'm really sorry mam, but uh for the same plan. Uh we're having a new offer that might help you in in easing the claim process.
See, I'm going to tell you last time just shut my policy do not renew it or else I'm not going to pay my premium and you're going to anyway shut my policy so it's up to you.
Uh OK, ma'am, uh as you wish I close your policy and uh once again. Sorry.","['good', 'welcome', 'insurance', 'help', 'emily', 'policy', 'number', 'upset', 'claim', 'week', 'response', 'term', 'want', 'shut_policy', 'want', 'renew', 'sorry', 'inconvenience', 'escalate', 'matter', 'supervisor', 'look', 'solve', 'matter', 'soon', 'possible', 'want', 'split', 'want', 'dominate', 'policy', 'want', 'relationship', 'henceforth', 'check', 'problem', 'maybe', 'help', 'think', 'help', 'damn', 'thing', 'past', 'week', 'think', 'crazy', 'person', 'cancer', 'care', 'claim', 'lightly', 'sorry', 'plan', 'offer', 'help', 'ease', 'claim', 'process', 'time', 'shut_policy', 'renew', 'premium', 'shut_policy', 'wish', 'close', 'policy', 'sorry']"

288021220,"Hello ma'am, good evening. This is Alexa how may I help you.
Hi Alexa, Uh, I haven't actually paid my premium from 3 months and I wanted to pay the entire amount. Could I do that.
Yes, ma'am, surely you can do that. Uh actually it's generally you can pay the monthly wise quarterly and yearly wise also you can.
Pay if you want.
You can change the policy in that, well so if if it's not possible for you play to pay in monthly wise.
Oh great then I would like to convert my policy to the quarterly thing sure mom will.
Do that can you please tell me your policy number and mobile number?
Yeah, uh so my policy number E123 four, five Z an mobile number is 998123452.
OK, thank you. Mom can you please tell me your name also for confirmation?
My name is Sky.
OK, Please wait mom, I'm doing it right away. Uh it's going to be processed.
Thanks for waiting ma'am, your payment conversation was done.
Thank you.
Welcome and thanks for calling his GF see have you nice day.
OK.
Yeah.","['hello', 'good', 'evening', 'help', 'actually', 'premium', 'month', 'want', 'entire', 'surely', 'actually', 'generally', 'monthly_wise', 'quarterly', 'yearly', 'wise', 'want', 'change', 'policy', 'possible', 'play', 'monthly_wise', 'great', 'convert', 'policy', 'quarterly', 'thing', 'policy_number', 'mobile_number', 'policy_number', 'mobile_number', 'confirmation', 'wait', 'right', 'away', 'process', 'wait', 'payment', 'conversation', 'welcome', 'nice']"

305897728,"Oh hello Sir, I'm Angel how may help you.
Hello ma'am,
Uh.
Uhm I want to know about the premium and benefit for the term insurance policies.
Oh, thank you for reaching out Sir uh we have a A2 types of policies.
That is a 20.
5 year premium.
We have a 2 types of term insurance policies basically one is a 25 years 7 and one and another one is a 64 years one.
Difference between these 2.
Uh yes uh.
25 years premium is.
Bit higher than the 60 years premium and benefit is similar you will get up to 1,00,00,000.
What I've contacted I see I see I and their policy premium is very less than yours and even their benefits is much better than you.
Uh sorry Sir, it will be various between the companies but our service could be very genuine and perfect. Uh it will be depends on the terms and conditions what the companies and the policies they have maintaining.
Everybody will say like that only if you give some discount on the premium I might take your policy.
OK Sir I will I will check out with that.
Can you contact?
Or any Asians or uh someone in the in RHDFC.
No, I have not contacted any agent yet. But if you want. But if you can arrange a callback for me.
Yes, sure that's what I wanted to. I would like to take a tell you uh I will process your call and your thing uh.
Would you really like to take the?
Policy.
Yeah, only it's your you are willing to offer me some discount on the premium.
Yes.","['hello', 'angel', 'help', 'hello', 'want', 'know', 'premium', 'benefit', 'term_insurance', 'policy', 'reach', 'type', 'policy', 'year_premium', 'type', 'term_insurance', 'policy', 'basically', 'year', 'year', 'difference', 'year_premium', 'high', 'year_premium', 'benefit', 'similar', 'contact', 'policy', 'premium', 'benefit', 'sorry', 'company', 'service', 'genuine', 'perfect', 'depend', 'term', 'condition', 'company', 'policy', 'maintain', 'everybody', 'discount', 'premium', 'policy', 'check', 'contact', 'asians', 'rhdfc', 'contact', 'agent', 'want', 'arrange', 'callback', 'want', 'process', 'thing', 'policy', 'willing', 'offer', 'discount', 'premium']"

338602558,"Good afternoon, HDFC life how may I help you.
Good afternoon, I have a young son insurance policy, the payment of the term is done. I have claimed the amount but there has been no response from you guys.
I.
Apologize for the inconvenience.
Sir for verification purposes.
May I please know your full name and policy number.
My name is AB devillier by the nominee is.
Brad Pitt.
And the policy number is 14324.
Yes, so uh give me a.
Moment.
I see that the down payment is done. May I know uh have you been trying to claim the insurance amount? How have you?
Been trying to claim the insurance amount.
Send an SMS to your toll free number and the insurance amount would be reflected in my account. I'm
Really sorry Sir, but that would not be the right way to claim uh you would have to call the toll free number and request for?
The claim once your request is recorded the claim will take 12 hours to process.
Where have you mentioned these things and I was not aware of this?
So this information is present on our website and also while applying for insurance. The brochure given to you has all the.
Required information.
OK.
Fine.
Is there something else I can assist you with?
No.
Thank you for calling HDFC life have a pleasant day.","['help', 'young', 'insurance', 'policy', 'payment', 'term', 'claim', 'response', 'apologize', 'inconvenience', 'purpose', 'know', 'policy_number', 'devillier', 'nominee', 'brad', 'pitt', 'policy_number', 'moment', 'payment', 'know', 'claim', 'insurance', 'claim', 'insurance', 'send', 'toll_free', 'number', 'insurance', 'reflect', 'account', 'sorry', 'right', 'claim', 'toll_free', 'number', 'request', 'claim', 'request', 'record', 'claim', 'hour', 'process', 'mention', 'thing', 'aware', 'information', 'present', 'website', 'apply', 'insurance', 'brochure', 'require', 'information', 'fine', 'assist', 'pleasant']"

371832065,"Welcome to HDFC life my name is Kai how may I help you.
And Uh, I wanted to inquire about the young star plan of yours. Could you please help me with that.
Uh shasa uh could I please know your Phone number.
My Phone number is.
342150.
OK, so.
Could you please tell me?
So I wanted to know what is?
The alignment and How do I assign the policy?
So basically assignment is the process by which the policyholder transfers all rights attached to the policy to the assigning.
Oh, OK and uh? How do I assign the policy then?
So so basically the two types of assignments uh the under absolute assignment and the conditional assignment.
Uh the
Difference is only that you know once the condition in the conditional one if this condition is satisfied policy will.
Return revert to the Assigner.
Also to know more on the assignment process.
Alright so uh you can uh so if you want to know more about the assignment process.
You could visit the HDFC.
Life branch.
Uh OK, yeah that would be helpful for me.
Is there anything else that I may assist you with?
Uh what I required.
Thank you for calling HTS delights have a nice day.","['welcome', 'help', 'want', 'inquire', 'young', 'star', 'plan', 'help', 'shasa', 'know', 'phone_number', 'phone_number', 'want', 'know', 'alignment', 'assign', 'policy', 'basically', 'assignment_process', 'policyholder', 'transfer', 'right', 'attach', 'policy', 'assigning', 'assign', 'policy', 'basically', 'type', 'assignment', 'absolute', 'assignment', 'conditional', 'assignment', 'difference', 'know', 'condition', 'conditional', 'condition', 'satisfied', 'policy', 'return', 'revert', 'assigner', 'know', 'assignment_process', 'alright', 'want', 'know', 'assignment_process', 'visit', 'branch', 'helpful', 'assist', 'require', 'delight', 'nice']"

374358082,"Welcome to HDFC Life Insurance? How can I help you?
Sorry I'm really sorry. I have a protect health plan up. I was trying. I claimed an amount but there was no response from you guys.
So.
I apologize for the inconvenience, ma'am for verification purposes. May I please know your full name and policy number.
I it's just key idea and my policy number is F-26.
1.
Okey Mann I see that the claim amount is under process, but uh for some reason uh it is not yet been completed.
I read that I could send an SMS to your toll free number an insurance amount would be reflected.
Uh I'm sorry man, but that would not be the right way to claim you would have to call the toll free number and request for the claim. Once you request your request is recorded the claim will take 12 hours to process.
Where have you mentioned these things?
Mandel information is present on our website and also while applying for the insurance. The brochure given to you had all the required information.
Oh, I think it is my mistake, then sorry uh. Find then uh so I just call.
Your mom, so you have to call the customer care and uh the claim process will be done.
OK, thank you.","['welcome', 'life', 'insurance', 'help', 'sorry', 'sorry', 'protect', 'health', 'plan', 'claim', 'response', 'apologize', 'inconvenience', 'purpose', 'know', 'policy_number', 'idea', 'policy_number', 'okey', 'mann', 'claim', 'process', 'reason', 'complete', 'read', 'send', 'toll_free', 'number', 'insurance', 'reflect', 'sorry', 'right', 'claim', 'toll_free', 'number', 'request', 'claim', 'request', 'request', 'record', 'claim', 'hour', 'process', 'mention', 'thing', 'mandel', 'information', 'present', 'website', 'apply', 'insurance', 'brochure', 'require', 'information', 'think', 'mistake', 'sorry', 'customer', 'care', 'claim', 'process']"

380511819,"Good afternoon, uh a DFC life customer care. This is Alex how may I help you.
Hello I would like to take a HDFC life pension super plan plus plan can you tell me any features on this?
Yes, ma'am, please may I have your name and mobile number.
Uh is my name is Alex A and mobile number is 456789.
OK, so uh some features of this plan mam. I like you have the flexibility to your investment horizon.
I sure it benefits equal to 101% of your regular premiums paid on death or at vesting the plan can be taken only at single life basis. The flexibility to choose the premium payment frequency quarterly half yearly or annual and EMI is also available from HDFC Bank credit card.
Is it not possible with David Carson through net banking?
No ma'am only you get the option to credit card.
But you can choose to pay your premiums like quarterly half yearly or annually.
This was very bad way of processing actually that I see. I say there providing with the debit card and everything net banking also they will provide some lot of online services. Also, they have a good service is why, why don't you put all these services?
Man for some plans we have these services but not every plan.
Uh.
Like this plan has some other special benefits so you don't we don't provide that.
OK, how about different from other with other products like uh uh a unit plan and something personal or pension.","['good', 'life', 'customer', 'care', 'help', 'hello', 'life', 'pension', 'super', 'plan', 'plus', 'plan', 'feature', 'mobile_number', 'mobile_number', 'feature', 'plan', 'flexibility', 'investment', 'horizon', 'benefit', 'equal', 'regular', 'premium', 'death', 'vest', 'plan', 'single', 'life', 'basis', 'flexibility', 'choose', 'premium', 'payment', 'frequency', 'quarterly_half', 'yearly', 'annual', 'available', 'bank', 'credit_card', 'possible', 'david', 'carson', 'net_banking', 'option', 'credit_card', 'choose', 'premium', 'quarterly_half', 'yearly', 'annually', 'processing', 'actually', 'provide', 'debit', 'card', 'net_banking', 'provide', 'online', 'service', 'good', 'service', 'service', 'plan', 'service', 'plan', 'plan', 'special', 'benefit', 'provide', 'different', 'product', 'unit', 'plan', 'personal', 'pension']"

389319352,"Good evening, HDFC Life Insurance. This is Alexa how may I help you.
